lat,lon,temp_avg,temp_min,temp_max,pm_1_avg,pm_1_min,pm_1_max,pm_2_5_avg,pm_2_5_min,pm_2_5_max,pm_10_avg,pm_10_min,pm_10_max,hum_avg,hum_min,hum_max,date,hour
51.47,5.396,8.865873,8.865873,8.865873,6.5366054,6.5366054,6.5366054,6.9240084,6.9240084,6.9240084,6.9384146,6.9384146,6.9384146,39.382004,39.382004,39.382004,2025-03-19,8
51.47,5.397,8.796445,8.670939,8.92195,6.572274,6.538095,6.606453,6.9509625,6.915651,6.9862742,6.952225,6.917928,6.9865227,38.91279,38.771637,39.05394,2025-03-19,8
51.469,5.398,8.783093,8.783093,8.783093,6.569647,6.569647,6.569647,6.9471726,6.9471726,6.9471726,6.9472,6.9472,6.9472,39.592575,39.592575,39.592575,2025-03-19,8
51.469,5.399,8.753719,8.753719,8.753719,6.8261356,6.8261356,6.8261356,7.2183814,7.2183814,7.2183814,7.218384,7.218384,7.218384,39.382004,39.382004,39.382004,2025-03-19,8
51.469,5.4,8.817807,8.817807,8.817807,6.864286,6.864286,6.864286,7.2593956,7.2593956,7.2593956,7.260216,7.260216,7.260216,40.297546,40.297546,40.297546,2025-03-19,8
51.476,5.445,6.9485765,6.879148,7.018005,7.5639157,7.4472556,7.680576,7.998556,7.8751926,8.12192,7.9985585,7.8751945,8.1219225,40.07171,39.90233,40.24109,2025-03-19,8
51.476,5.446,6.7763405,6.772335,6.780346,6.6697903,6.529415,6.8101654,7.0530524,6.904611,7.201494,7.0530543,6.904613,7.201496,41.239784,40.854492,41.625076,2025-03-19,8
51.475,5.447,6.7338824,6.49195,6.919203,7.185903,6.8926897,7.462705,7.600683,7.288762,7.896398,7.60296,7.2887664,7.9023476,42.317837,41.921097,42.619965,2025-03-19,8
51.476,5.447,6.793698,6.793698,6.793698,6.4296503,6.4296503,6.4296503,6.7991133,6.7991133,6.7991133,6.799115,6.799115,6.799115,42.874786,42.874786,42.874786,2025-03-19,8
51.474,5.448,6.765659,6.668192,6.863126,7.259064,7.147923,7.3702054,7.6761875,7.55866,7.793715,7.6761894,7.558662,7.793717,41.575485,41.399246,41.751724,2025-03-19,8
51.472,5.449,6.801709,6.801709,6.801709,7.2962513,7.2962513,7.2962513,7.715532,7.715532,7.715532,7.715558,7.715558,7.715558,40.875854,40.875854,40.875854,2025-03-19,8
51.473,5.449,6.7416267,6.590753,6.8925,7.2476444,7.215515,7.2797737,7.664111,7.630136,7.6980867,7.6641135,7.630138,7.698089,41.709763,41.702896,41.71663,2025-03-19,8
51.472,5.45,6.879148,6.879148,6.879148,7.286369,7.286369,7.286369,7.7052684,7.7052684,7.7052684,7.705522,7.705522,7.705522,40.134277,40.134277,40.134277,2025-03-19,8
51.472,5.451,6.801709,6.801709,6.801709,7.1820874,7.1820874,7.1820874,7.5967016,7.5967016,7.5967016,7.599043,7.599043,7.599043,39.59868,39.59868,39.59868,2025-03-19,8
51.472,5.452,6.762989,6.745632,6.780346,6.6971083,6.637868,6.7563486,7.121163,7.0809307,7.161395,7.1690717,7.1562147,7.181929,39.817642,39.732956,39.90233,2025-03-19,8
51.472,5.453,6.6788735,6.577401,6.780346,6.691748,6.5925016,6.7909946,7.134321,7.0311294,7.2375135,7.2052236,7.1041775,7.30627,39.792465,39.76805,39.81688,2025-03-19,8
51.471,5.454,6.839093,6.828412,6.849774,7.067149,7.055017,7.0792813,7.5246353,7.5110908,7.5381794,7.5874043,7.572986,7.601823,40.067894,39.98625,40.149536,2025-03-19,8
51.47,5.455,6.8497744,6.780346,6.919203,6.824576,6.786866,6.862286,7.2603974,7.223987,7.2968073,7.3137326,7.281557,7.3459086,41.12992,40.854492,41.40535,2025-03-19,8
51.468,5.456,6.868467,6.844434,6.8925,6.7366586,6.591729,6.881588,7.1335397,6.9787474,7.288332,7.145485,6.9888177,7.3021517,40.894165,40.79193,40.9964,2025-03-19,8
51.469,5.456,6.836423,6.836423,6.836423,7.0012436,7.0012436,7.0012436,7.4301953,7.4301953,7.4301953,7.462742,7.462742,7.462742,41.306168,41.306168,41.306168,2025-03-19,8
51.467,5.457,6.9485765,6.927214,6.969939,7.025487,6.9999485,7.0510254,7.446095,7.4224396,7.4697504,7.4667497,7.447187,7.4863124,41.43358,41.32753,41.539627,2025-03-19,8
51.466,5.458,6.956588,6.956588,6.956588,7.6612835,7.6612835,7.6612835,8.1140175,8.1140175,8.1140175,8.129287,8.129287,8.129287,41.25734,41.25734,41.25734,2025-03-19,8
51.464,5.459,6.844434,6.844434,6.844434,8.177884,8.177884,8.177884,8.648745,8.648745,8.648745,8.649898,8.649898,8.649898,39.8947,39.8947,39.8947,2025-03-19,8
51.465,5.459,6.969939,6.900511,7.039368,7.7041163,7.4055924,8.00264,8.146864,7.831142,8.462586,8.146932,7.831153,8.462711,40.45929,40.325012,40.593567,2025-03-19,8
51.463,5.46,6.900511,6.900511,6.900511,7.5607815,7.5607815,7.5607815,7.995245,7.995245,7.995245,7.995254,7.995254,7.995254,39.908432,39.908432,39.908432,2025-03-19,8
51.464,5.46,6.965934,6.956588,6.97528,8.073862,7.8884635,8.259261,8.538865,8.34366,8.73407,8.540166,8.345995,8.734336,39.85885,39.717697,40.0,2025-03-19,8
51.463,5.461,6.750972,6.750972,6.750972,7.3735085,7.3735085,7.3735085,7.797263,7.797263,7.797263,7.797336,7.797336,7.797336,39.725327,39.725327,39.725327,2025-03-19,8
51.462,5.462,7.014,6.996643,7.031357,7.6110106,7.4294543,7.7925663,8.048631,7.856915,8.240346,8.048965,7.8575826,8.240348,39.842056,39.810776,39.873337,2025-03-19,8
51.461,5.463,6.9245434,6.823071,7.026016,8.129706,8.076106,8.183307,8.596858,8.540178,8.653539,8.596861,8.540181,8.653542,39.72914,39.69786,39.76042,2025-03-19,8
51.46,5.464,7.047379,7.047379,7.047379,8.421258,8.421258,8.421258,8.905164,8.905164,8.905164,8.905167,8.905167,8.905167,39.555954,39.555954,39.555954,2025-03-19,8
51.461,5.464,7.087434,7.087434,7.087434,7.938234,7.938234,7.938234,8.394384,8.394384,8.394384,8.394386,8.394386,8.394386,39.781784,39.781784,39.781784,2025-03-19,8
51.46,5.465,7.143511,7.143511,7.143511,8.3367405,8.3367405,8.3367405,8.81579,8.81579,8.81579,8.815792,8.815792,8.815792,39.491867,39.491867,39.491867,2025-03-19,8
51.459,5.466,7.0700765,7.031357,7.108796,7.8251605,7.802092,7.8482294,8.274814,8.250419,8.299208,8.274816,8.250421,8.29921,39.457535,39.259933,39.655136,2025-03-19,8
51.455,5.467,7.203593,7.143511,7.263675,7.5125623,7.3599305,7.6651936,7.944252,7.78285,8.105654,7.9442544,7.7828517,8.105657,40.187683,40.071716,40.30365,2025-03-19,8
51.456,5.467,7.102566,7.052719,7.159533,7.1961184,7.0762286,7.4106464,7.6096244,7.482846,7.83648,7.6096263,7.4828477,7.836482,39.82654,39.626144,39.937424,2025-03-19,8
51.457,5.467,6.961928,6.807049,7.116807,8.030523,7.901679,8.1593685,8.491977,8.355728,8.628225,8.49198,8.355731,8.628228,39.40413,39.30876,39.499496,2025-03-19,8
51.458,5.467,7.032692,6.905851,7.159533,7.71176,7.673585,7.749935,8.154897,8.114528,8.195265,8.154899,8.11453,8.195267,39.510178,39.507126,39.51323,2025-03-19,8
51.454,5.468,7.186236,7.095445,7.277027,8.07099,7.8506026,8.291376,8.534767,8.301717,8.767818,8.53477,8.30172,8.76782,39.95192,39.92369,39.98015,2025-03-19,8
51.457,5.468,7.143511,7.143511,7.143511,7.972313,7.972313,7.972313,8.430421,8.430421,8.430421,8.430424,8.430424,8.430424,39.2874,39.2874,39.2874,2025-03-19,8
51.454,5.469,7.012664,7.012664,7.012664,8.09602,8.09602,8.09602,8.561235,8.561235,8.561235,8.561238,8.561238,8.561238,39.76805,39.76805,39.76805,2025-03-19,8
51.454,5.47,6.956588,6.956588,6.956588,8.020864,8.020864,8.020864,8.481761,8.481761,8.481761,8.481764,8.481764,8.481764,39.69023,39.69023,39.69023,2025-03-19,8
51.453,5.471,6.913862,6.913862,6.913862,7.3394575,7.3394575,7.3394575,7.7612004,7.7612004,7.7612004,7.7612023,7.7612023,7.7612023,39.31639,39.31639,39.31639,2025-03-19,8
51.454,5.471,6.9485765,6.857785,7.004654,7.7223988,7.7080693,7.7295785,8.166146,8.150993,8.1737385,8.166149,8.150996,8.17374,39.32504,39.23094,39.499496,2025-03-19,8
51.451,5.472,6.668192,6.668192,6.668192,8.12855,8.12855,8.12855,8.595635,8.595635,8.595635,8.595638,8.595638,8.595638,39.22484,39.22484,39.22484,2025-03-19,8
51.452,5.472,6.8965054,6.836423,6.956588,7.431879,7.0859857,7.777772,7.858933,7.4931636,8.224702,7.858935,7.4931655,8.224704,39.025703,38.884552,39.166855,2025-03-19,8
51.453,5.472,6.996643,6.996643,6.996643,7.1362166,7.1362166,7.1362166,7.546281,7.546281,7.546281,7.546283,7.546283,7.546283,38.750275,38.750275,38.750275,2025-03-19,8
51.45,5.473,7.116807,7.116807,7.116807,7.1989956,7.1989956,7.1989956,7.612667,7.612667,7.612667,7.6126695,7.6126695,7.6126695,38.680084,38.680084,38.680084,2025-03-19,8
51.451,5.473,6.940566,6.940566,6.940566,7.7616053,7.7616053,7.7616053,8.207605,8.207605,8.207605,8.207608,8.207608,8.207608,38.991364,38.991364,38.991364,2025-03-19,8
51.449,5.474,6.97528,6.97528,6.97528,7.205481,7.205481,7.205481,7.6195307,7.6195307,7.6195307,7.619541,7.619541,7.619541,38.391693,38.391693,38.391693,2025-03-19,8
51.45,5.474,7.068741,7.068741,7.068741,6.894779,6.894779,6.894779,7.2909694,7.2909694,7.2909694,7.2909718,7.2909718,7.2909718,38.65262,38.65262,38.65262,2025-03-19,8
51.447,5.475,7.199588,7.199588,7.199588,6.8186126,6.8186126,6.8186126,7.2104263,7.2104263,7.2104263,7.2104287,7.2104287,7.2104287,37.747757,37.747757,37.747757,2025-03-19,8
51.448,5.475,7.2436476,7.215609,7.271686,7.1516566,7.07759,7.225723,7.5655913,7.4896665,7.641516,7.569241,7.496243,7.642239,38.256653,38.20706,38.306244,2025-03-19,8
51.449,5.475,7.082093,7.082093,7.082093,7.0372653,7.0372653,7.0372653,7.441704,7.441704,7.441704,7.44178,7.44178,7.44178,38.539703,38.539703,38.539703,2025-03-19,8
